unique_reserve,weight,ci.lb,ci.ub,significant,country,,,,,
Winderabandi,1.18%,-1.93,1.12,No,Australia-Indian Ocean,,,,,
Wallabi Group,1.01%,-0.57,2.84,No,Australia-Indian Ocean,,,,,
Tubbataha,0.82%,2.2,6.17,Yes,Philippines,,,,,
Tiahura,2.35%,-0.75,0.66,No,French Polynesia,,,,,
Tetaiuo,2.16%,-0.1,1.52,No,French Polynesia,,,,,
Techobanine,0.79%,-3.91,0.15,No,Mozambique,,,,,
Tanikely,1.38%,-1.86,0.82,No,Madagascar,,,,,
Sunday Island,0.74%,-0.51,3.73,No,Australia-Indian Ocean,,,,,
St Maarten,1.83%,-0.01,2.01,No,Dutch Caribbean,,,,,
SR-18-2007,1.52%,-1.98,0.46,No,Australia-Pacific,,,,,
Southern Montebellos,2.30%,-0.95,0.52,No,Australia-Indian Ocean,,,,,
South Muiron,2.44%,-0.43,0.89,No,Australia-Indian Ocean,,,,,
South Eustatius,2.28%,-0.59,0.9,No,Dutch Caribbean,,,,,
Sipadan,0.57%,3.42,8.42,Yes,Malaysia,,,,,
Sandals Boscobel,0.03%,-12.65,12.65,No,Jamaica,,,,,
Saba,2.16%,-0.77,0.85,No,Dutch Caribbean,,,,,
Pigeon Island,0.49%,-0.02,5.47,No,Sri Lanka,,,,,
Petit Terre,0.71%,-0.95,3.41,No,French West Indies,,,,,
Pelsaert,0.68%,-2.49,1.98,No,Australia-Indian Ocean,,,,,
Pelican,0.07%,-3.95,12.17,No,Australia-Indian Ocean,,,,,
Papahanaumokuakea,2.27%,1.99,3.48,Yes,USA-Pacific,,,,,
Palaster Reef,2.70%,0.55,1.57,Yes,Antigua and Barbuda,,,,,
Osprey,1.47%,-0.01,2.52,No,Australia-Indian Ocean,,,,,
Oracabessa,0.03%,-12,12,No,Jamaica,,,,,
Oostpunt,1.08%,0.28,3.55,Yes,Dutch Caribbean,,,,,
Northern Montebellos,1.67%,0.07,2.29,Yes,Australia-Indian Ocean,,,,,
North Island,0.04%,-10.21,10.21,No,Australia-Indian Ocean,,,,,
North Eustatius,1.19%,-1.51,1.51,No,Dutch Caribbean,,,,,
Ngeruangel,2.96%,-0.01,0.69,No,Palau,,,,,
Nasue,0.77%,-2.01,2.13,No,Fiji,,,,,
Namuri,1.05%,-1.09,2.24,No,Fiji,,,,,
Namena,2.44%,0.93,2.23,Yes,Fiji,,,,,
MNP-23-1164,2.03%,-0.07,1.71,No,Australia-Pacific,,,,,
MNP-18-1084,2.81%,0.14,1.03,Yes,Australia-Pacific,,,,,
MNP-18-1081,3.00%,0.6,1.22,Yes,Australia-Pacific,,,,,
MNP-13-1019,3.00%,-0.27,0.36,No,Australia-Pacific,,,,,
MNP-11-1004,2.85%,-0.21,0.63,No,Australia-Pacific,,,,,
Maud,0.05%,-4.24,13.33,No,Australia-Indian Ocean,,,,,
Mandu,0.48%,-3.65,1.9,No,Australia-Indian Ocean,,,,,
Man o War Shoal,1.75%,-0.17,1.96,No,Dutch Caribbean,,,,,
Lighthouse,2.05%,-0.61,1.14,No,Australia-Indian Ocean,,,,,
La Caleta,0.61%,-1.6,3.18,No,Dominican Republic,,,,,
Kisite,0.11%,-6.28,6.28,No,Kenya,,,,,
Kapoposang 2,0.08%,-9.83,5.02,No,Indonesia,,,,,
Kapoposang 1,0.05%,-11.99,5.57,No,Indonesia,,,,,
Jardines de la Reina,2.13%,0.09,1.75,Yes,Cuba,,,,,
iSimangaliso,2.64%,-0.55,0.53,No,South Africa,,,,,
Halfmoon Cay,2.65%,0.1,1.18,Yes,Belize,,,,,
Glover's Reef,0.39%,1.88,8.1,Yes,Belize,,,,,
Gili Matra,2.05%,0.22,1.98,Yes,Indonesia,,,,,
Fernando de Noronha,2.37%,0.15,1.54,Yes,Brazil,,,,,
Exuma Cays,2.90%,-0.4,0.37,No,Bahamas,,,,,
Easter Group,0.19%,-1.17,8.03,No,Australia-Indian Ocean,,,,,
East Coast,2.85%,-0.27,0.56,No,Australia-Pacific,,,,,
Corals Rosario and San Bernardo,0.79%,0.4,4.48,Yes,Colombia,,,,,
Conception Island,2.55%,0.25,1.44,Yes,Bahamas,,,,,
Cloates,2.33%,-0.92,0.52,No,Australia-Indian Ocean,,,,,
Caye Caulker,2.20%,0.4,1.98,Yes,Belize,,,,,
Bundegi,0.90%,-1.76,1.97,No,Australia-Indian Ocean,,,,,
Buccoo,1.22%,-1.49,1.47,No,Trinidad and Tobago,,,,,
Bird Cay,1.90%,-0.87,1.07,No,Jamaica,,,,,
Bazaruto,2.04%,-0.25,1.51,No,Mozambique,,,,,
Balls Pyramid,2.75%,-0.3,0.67,No,Australia-Pacific,,,,,
Ashmore Reef,2.53%,-0.24,0.97,No,Australia-Indian Ocean,,,,,
Apo,0.35%,0.04,6.71,Yes,Philippines,,,,,
Abrolhos,0.25%,-0.68,7.26,No,Brazil,,,,,
