"","log_Grav_Total_Plus_min","log_mpa_area","sqrt_mpa_age","Average.of.substrate_relief_mean","sqrt_live_coral","sqrt_Average.of.depth","mpa_isolation","mpa_compliance","Shark_Sanctuary","location_name"
"log_Grav_Total_Plus_min",1,-0.285036299907798,0.2483915605225,-0.0719289593397819,0.20370317181126,0.117772752804422,0.0835249901107745,0.497016686085716,0.0553107041414053,0.86915727566341
"log_mpa_area",-0.285036299907798,1,0.130615272776966,-0.100962766496968,-0.140461690769817,0.196100361945983,0.250686626684121,0.176669696317576,0.0956013925248523,0.823075458565695
"sqrt_mpa_age",0.2483915605225,0.130615272776966,1,-0.237972937792498,-0.0122269462552037,0.0773037143493159,0.0677396843197706,0.245479662913897,0.270041740908708,0.856793633986655
"Average.of.substrate_relief_mean",-0.0719289593397819,-0.100962766496968,-0.237972937792498,1,0.569188412281601,0.0113016780814853,0.370611938256912,0.0351781914684612,0.00557954553218869,0.748943098704367
"sqrt_live_coral",0.20370317181126,-0.140461690769817,-0.0122269462552037,0.569188412281601,1,-0.0409017363710656,0.216964184835756,0.201002760910183,0.181946588007855,0.621307430993514
"sqrt_Average.of.depth",0.117772752804422,0.196100361945983,0.0773037143493159,0.0113016780814853,-0.0409017363710656,1,0.279004939131026,0.228210133159359,0.0208804588223946,0.805891552212544
"mpa_isolation",0.0835249901107745,0.250686626684121,0.0677396843197706,0.370611938256912,0.216964184835756,0.279004939131026,0.999999292297113,0.0750476555135571,0.0859567168580179,0.839325441650793
"mpa_compliance",0.497016686085716,0.176669696317576,0.245479662913897,0.0351781914684612,0.201002760910183,0.228210133159359,0.0813606859449889,0.999999185894262,0.154362669646854,0.889400598679603
"Shark_Sanctuary",0.0553107041414053,0.0956013925248523,0.270041740908708,0.00557954553218869,0.181946588007855,0.0208804588223946,0.157930938647322,0.261631312941827,0.999997710417498,0.999997840860016
"location_name",0.86915727566341,0.823075458565695,0.856793633986655,0.748943098704367,0.621307430993514,0.805891552212544,0.514184711444827,0.502584070365109,0.333427439605337,0.999999775144796
